Year,Count,Share of All International Students
1985,4150,1.2
1986,4730,1.4
1987,4800,1.3
1988,7020,1.9
1989,7712,2.0
1990,8770,2.2
1991,8230,2.0
1992,11010,2.5
1993,11430,2.5
1994,13209,2.9
1995,15450,3.4
1996,18125,4.0
1997,16582,3.4
1998,16842,3.4
1999,24857,4.8
2000,21058,3.8
2001,22745,3.9
2002,27793,4.7
2003,29340,5.1
2004,32999,5.8
2005,38096,6.7
2006,41660,7.1
2007,56766,9.1
2008,66601,9.9
2009,67804,9.8
2010,76031,10.5
2011,85157,11.1
2012,94919,11.6
2013,105997,12.0
2014,120287,12.3
2015,147498,14.1
2016,175695,16.3
2017,203462,18.6
2018,223085,20.4
2019,223539,20.8
2020,203885,22.3
2021,184759,19.5
2022,198793,18.8
2023,242782,21.5
2024,294253,25.0
