Year,India,China,Republic of Korea,Canada,Mexico,Phillippines,Brazil,Vietnam,United Kingdom,Pakistan
2008,7198,1210,1263,1023,1746,1144,321,29,358,374
2009,6403,1090,1024,872,401,958,206,42,310,247
2010,14872,1778,1922,1635,1528,1398,356,42,586,557
2011,10527,1029,872,956,458,494,131,21,256,238
2013,8372,779,487,603,252,364,82,25,203,164
2014,20114,2691,1561,1657,666,791,268,93,544,408
2015,22713,3583,3274,1482,799,882,300,117,506,377
2016,33610,5043,3787,1957,1031,791,505,624,677,596
2017,23032,3916,2349,1495,1018,548,558,625,449,417
2018,38081,7899,2737,2702,2501,988,987,795,823,693
2019,29286,6373,1708,1905,1858,939,949,598,569,561
2020,27859,7021,1544,1778,1849,891,1032,688,574,506
2021,36414,8202,1741,2114,3045,1220,1428,545,638,615
2022,22967,4039,945,1001,1779,1039,865,390,314,383
2023,26639,6750,1022,1345,2163,1406,1271,2081,306,531
2024,16173,2813,950,935,1389,1673,981,1820,235,566
