Institution,2000,2025,Country
Tsinghua University,149,1,China
Shanghai Jiao Tong University,149,2,China
Carnegie Mellon University,1,2,United States
Zhejiang University,-,4,China
Peking University,149,5,China
Hong Kong University of Science and Technology,18,5,Hong Kong
National University of Singapore,18,5,Singapore
Univ. of Illinois at Urbana-Champaign,4,5,United States
Chinese Academy of Sciences,149,9,China
Korea Advanced Institute of Science & Technology,45,9,South Korea
Georgia Institute of Technology,10,9,United States
Fudan University,,12,China
Nanjing University,149,12,China
Nanyang Technological University,149,12,Singapore
New York University,18,12,United States
Univ. of California - Berkeley,-,12,United States
Univ. of California - San Diego,4,12,United States
University of Maryland - College Park,10,12,United States
University of Michigan,10,12,United States
University of Toronto,18,20,Canada
Harbin Institute of Technology,149,20,China
Renmin University of China,,20,China
Chinese University of Hong Kong,45,20,Hong Kong
Seoul National University,45,20,South Korea
University of Edinburgh,-,20,United Kingdom
Cornell University,10,20,United States
Northeastern University,45,20,United States
Stanford University,4,20,United States
University of Washington,18,20,United States
