Year,India,China,South Korea,Bangladesh,Nigeria,Taiwan,Iran,Canada,Ghana,Nepal
2000,"39,797","48,029","21,568","1,583","1,021","15,022","1,023","10,694",772,609
2001,"49,730","50,969","23,676","1,621","1,308","15,923","1,295","11,810",937,776
2002,"58,322","52,235","24,616","1,551","1,622","15,479","1,363","11,252","1,169",956
2003,"63,013","50,796","24,757","1,512","1,680","15,015","1,429","12,129","1,338","1,208"
2004,"57,976","49,293","24,122","1,312","1,778","14,826","1,475","13,087","1,258","1,427"
2005,"56,397","47,617","24,414","1,366","1,819","16,089","1,628","12,355","1,326","1,734"
2006,"59,570","47,968","23,950","1,223","1,820","16,679","1,866","12,491","1,284","2,033"
2007,"68,069","53,047","24,697","1,227","1,968","16,064","2,189","13,040","1,307","2,569"
2008,"71,019","57,452","25,463","1,421","2,153","15,332","2,639","13,185","1,333","2,792"
2009,"68,290","66,453","23,386","1,461","2,327","14,613","3,773","11,950","1,305","2,897"
2010,"63,624","76,830","22,486","1,752","2,454","13,269","4,696","11,618","1,316","2,921"
2011,"59,014","88,429","21,260","2,041","2,522","12,007","5,747","11,190","1,255","2,822"
2012,"54,607","103,505","19,916","2,349","2,551","10,860","7,157","10,982","1,290","3,068"
2013,"61,058","115,727","18,894","2,821","2,771","10,177","8,254","11,207","1,307","3,039"
2014,"85,055","120,331","17,605","3,261","3,339","9,607","8,953","10,605","1,400","3,309"
2015,"101,850","123,250","16,613","3,842","3,803","9,164","9,534","10,220","1,323","3,825"
2016,"104,899","128,320","16,471","4,319","4,239","8,948","9,578","10,113","1,387","3,991"
2017,"95,651","130,843","15,572","4,649","4,762","9,236","9,695","9,517","1,534","4,537"
2018,"90,333","133,396","15,518","5,278","5,274","9,348","9,017","9,471","1,860","4,037"
2019,"85,160","137,096","15,219","5,787","5,565","9,315","8,518","9,488","2,270","3,871"
2020,"68,869","118,859","14,238","5,735","5,350","8,052","7,225","9,499","2,309","3,655"
2021,"102,024","123,182","14,915","7,452","7,212","9,008","7,025","10,338","2,984","4,576"
2022,"165,936","126,028","15,305","9,196","9,555","9,985","8,405","10,669","4,140","5,542"
2023,"196,567","122,778","14,930","11,438","11,206","9,983","10,129","10,428","6,377","5,882"
2024,"177,892","120,229","14,836","13,016","11,617","10,205","10,154","9,887","8,514","8,350"
