Country,2023
Australia,467074
Austria,87009.56
Belgium,57281
Canada,389181
Chile,19891
China,200892
Czechia,56276
Denmark,29674
Estonia,4869
Finland,30346
France,276217.22
Germany,423197
Greece,26327
Hungary,41730
Iceland,2089
Israel,13597
Italy,106450
Japan,181821
Latvia,10080
Lithuania,11009
Luxembourg,4169.5
Mexico,72888
New Zealand,36407.02
Norway,14141
Poland,89677
Portugal,56775
Republic of Korea,127624
Slovakia,21262
Slovenia,8499
Spain,102162
Sweden,34661.39
Switzerland,66189
Türkiye,301634
United Kingdom of Great Britain,748461
United States of America,956923.13
