Year,EB1,EB2,EB3,EB1.1,EB2.1,EB3.1
2002,0.0,0.0,0.0,0 years 0 months,0 years 0 months,0 years 0 months
2003,0.0,0.0,0.0,0 years 0 months,0 years 0 months,0 years 0 months
2004,0.0,0.0,0.0,0 years 0 months,0 years 0 months,0 years 0 months
2005,0.0,0.0,35.6666666666666,0 years 0 months,0 years 0 months,2 years 11 months
2006,7.9090909090909,46.3333333333333,64.9090909090909,0 years 7 months,3 years 10 months,5 years 4 months
2007,0.727272727272727,44.090909090909,63.4,0 years 0 months,3 years 8 months,5 years 3 months
2008,0.0,54.9,81.4444444444444,0 years 0 months,4 years 6 months,6 years 9 months
2009,0.0,70.0,94.4285714285714,0 years 0 months,5 years 10 months,7 years 10 months
2010,0.0,57.9166666666666,104.166666666666,0 years 0 months,4 years 9 months,8 years 8 months
2011,0.0,53.75,109.583333333333,0 years 0 months,4 years 5 months,9 years 1 month
2012,0.0,57.125,117.25,0 years 0 months,4 years 9 months,9 years 9 months
2013,0.0,90.75,123.5,0 years 0 months,7 years 6 months,10 years 3 months
2014,0.0,98.0,128.25,0 years 0 months,8 years 2 months,10 years 8 months
2015,0.0,100.25,135.583333333333,0 years 0 months,8 years 4 months,11 years 3 months
2016,13.25,112.0,140.166666666666,1 year 1 month,9 years 4 months,11 years 8 months
2017,22.1666666666666,107.416666666666,138.75,1 year 10 months,8 years 11 months,11 years 6 months
2018,45.75,115.166666666666,128.0,3 years 9 months,9 years 7 months,10 years 8 months
2019,42.090909090909,122.083333333333,129.333333333333,3 years 6 months,10 years 2 months,10 years 9 months
2020,42.8333333333333,131.75,131.833333333333,3 years 6 months,10 years 11 months,10 years 11 months
2021,3.0,125.75,114.5,0 years 3 months,10 years 5 months,9 years 6 months
2022,0.0,107.833333333333,124.416666666666,0 years 0 months,8 years 11 months,10 years 4 months
2023,51.9166666666666,144.25,143.0,4 years 3 months,12 years 0 months,11 years 11 months
2024,35.090909090909,145.181818181818,141.636363636363,2 years 11 months,12 years 1 month,11 years 9 months
2025,40.4166666666666,149.25,146.083333333333,3 years 4 months,12 years 5 months,12 years 2 months
