Year,China,Germany,United Kingdom,Mexico,France,Brazil,Spain,South Korea,Thailand,Colombia,Turkey
2015,0.11196164752698616,0.06414012439486753,0.059327265036268784,0.02584405207664228,0.03938961913863604,0.04077770292500274,0.02536777953594761,0.027852543514703346,0.02097165865045669,0.01364270159331965,0.023895094706168043
2016,0.1122713723181099,0.06021909002809161,0.05989094566910782,0.02700904083710546,0.03854622848661048,0.02595407205682111,0.026797433727106565,0.026435554901311352,0.02415387823697543,0.014413817637605957,0.025073909150014107
2017,0.11219015628870214,0.05387640687017828,0.05854331921680451,0.025361421399529988,0.036604300204800426,0.0316685495417666,0.027780966247198342,0.02717985585433192,0.02690195557220272,0.016707244135397852,0.024542823829345063
2018,0.10963551764249709,0.05160975668863901,0.055796214618069016,0.02747855273361768,0.035257730709577356,0.03662090442031795,0.029759596742923614,0.027166537417603723,0.02811167119038387,0.019902336176812717,0.02433416537417604
2019,0.10695080185482113,0.04916530063210823,0.0526587660602369,0.030282672112889694,0.033856755973975174,0.03806384382716602,0.03200253201596842,0.02792682234981831,0.027446097619964707,0.022050634347632655,0.029870622344443747
2020,0.0660553633217993,0.0630795847750865,0.018996539792387544,0.03157439446366782,0.06242214532871972,0.054705882352941174,0.03539792387543252,0.07321799307958478,0.011539792387543253,0.028408304498269896,0.028529411764705883
2021,0.022147317627022423,0.0643627590122055,0.017293499858075503,0.07422651149588419,0.03391995458416123,0.03629009367016747,0.051759863752483676,0.03320323587851263,0.023304002270791938,0.06157394266250355,0.01757025262560318
2022,0.023940298722487745,0.0510716768293781,0.045463877053401956,0.050063209303833255,0.038390197695651704,0.04336410359842823,0.04020904091136651,0.029159118167182307,0.03214130070700777,0.03729889176622282,0.03383048381229538
2023,0.03400675316157056,0.04395578653584229,0.04653256275454031,0.05436997821452833,0.037286286530822596,0.03845420198579092,0.03908333695866784,0.029934108150979008,0.03128942551276174,0.041268577050628634,0.03152367789627974
2024,0.04488654066703349,0.044518618202549605,0.05061751310930943,0.05624904704767082,0.03574151292369089,0.03385549596611136,0.0407697866049706,0.02791901728241198,0.030139810536503876,0.03940747910134109,0.026526878227608106
2025,0.044643636363636365,0.04326181818181818,0.05762909090909091,0.05697454545454545,0.03626909090909091,0.03318909090909091,0.04366545454545454,0.026105454545454546,0.034756363636363634,0.03211636363636364,0.024534545454545455
