Year,Australia,China,Germany,Japan,Republic of Korea,United Kingdom,United States of America
1990,3,1,237,2993,101,110,1662
1991,5,0,396,3734,197,87,1965
1992,5,1,216,4206,367,98,1940
1993,3,13,250,5371,608,71,2149
1994,3,8,281,6556,857,85,2576
1995,4,6,298,7197,983,64,2697
1996,5,8,308,7112,1174,73,2564
1997,6,12,355,8697,1256,65,2765
1998,8,13,445,10768,2555,70,3355
1999,6,32,507,11547,6082,63,4246
2000,3,57,604,10016,4132,55,4979
2001,3,49,756,11825,3157,79,6168
2002,13,64,954,11634,3691,93,6395
2003,24,176,979,12069,3325,128,6421
2004,22,416,1173,10837,3583,113,5954
2005,26,598,1287,10764,5632,108,5286
2006,25,704,1530,12091,10137,92,5880
2007,18,1023,1460,13979,9737,80,5933
2008,24,1695,1318,12846,7706,104,5515
2009,33,2553,1144,14415,6273,107,5860
2010,40,1505,1299,15935,7093,126,6969
2011,47,1960,1254,18108,8834,155,7255
2012,27,2884,1446,20018,8428,141,7854
2013,26,3025,1532,20973,7480,182,8817
2014,28,2954,1710,21242,8122,205,9645
2015,26,5224,1685,16691,6917,194,9048
2016,21,7048,1905,17946,7560,181,9495
2017,30,8031,1901,16528,7129,166,9108
2018,29,7608,1799,14946,7267,186,8228
2019,31,9217,1633,14162,7902,224,8344
2020,27,10596,1459,13263,8224,228,8387
2021,28,11363,1431,13180,8351,207,7870
2022,31,13896,1229,13940,8160,233,7161
2023,26,14294,1256,14446,9443,226,7530
2024,12,17196,1247,14468,9611,210,7037
