,,Labor force status,Total,Employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unemployed,,,,,,,,,Not In Labor Force,,,,,,,,,,,,
,,Highest degree type,,Total,Bachelor's,,,,,,,Master's,,,,,,,Doctorate,,,,,,,Professional,,,,,,,Total,Bachelor's,,Master's,,Doctorate,,Professional,,Total,Bachelor's,,Master's,,Doctorate,,Professional,,,,,
Year,Field of study for highest degree - major group (1993),Occupation: Major Group (1993),,,Total,Computer and Math Scientists,Life and Related Scientists,Physical and Related Scientists,Social and Related Scientists,Engineers,Non-S&E Occupations,Total,Computer and Math Scientists,Life and Related Scientists,Physical and Related Scientists,Social and Related Scientists,Engineers,Non-S&E Occupations,Total,Computer and Math Scientists,Life and Related Scientists,Physical and Related Scientists,Social and Related Scientists,Engineers,Non-S&E Occupations,Total,Computer and Math Scientists,Life and Related Scientists,Physical and Related Scientists,Social and Related Scientists,Engineers,Non-S&E Occupations,,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,,,,
1993,,,"148,903","124,041","73,084","5,380",958,"1,164",316,"9,846","55,420","34,123","2,565",739,753,"1,350","4,203","24,513","7,436",509,"1,004",774,"1,017",737,"3,395","9,398",24,206,5,58,33,"9,072","4,073","2,817","2,817",976,976,145,145,135,135,"20,789","13,767","13,767","5,203","5,203",842,842,977,977,,,,
,Computer and Math Sciences,,"7,630","6,826","4,436","2,072",3,26,8,188,"2,139","2,017","1,106",7,10,6,148,740,373,278,2,1,4,18,70,-,-,-,-,-,-,-,217,141,141,68,68,8,8,-,-,587,394,394,169,169,24,24,-,-,,,,
,Life and Related Sciences,,"7,914","6,652","3,902",126,650,154,10,150,"2,812","1,239",37,500,72,6,45,579,"1,511",15,868,31,6,9,582,-,-,-,-,-,-,-,165,117,117,26,26,22,22,-,-,"1,097",704,704,219,219,174,174,-,-,,,,
,Physical and Related Sciences,,"5,715","4,679","2,563",175,61,818,4,377,"1,128","1,037",67,29,517,5,140,279,"1,079",46,86,685,-,80,182,-,-,-,-,-,-,-,186,115,115,41,41,30,30,-,-,850,553,553,182,182,115,115,-,-,,,,
,Social and Related Sciences,,"14,879","12,177","7,519",366,29,28,187,121,"6,788","3,185",102,18,11,924,28,"2,102","1,424",32,27,5,898,5,457,49,1,-,-,26,-,22,490,361,361,107,107,21,21,1,1,"2,212","1,548","1,548",515,515,143,143,6,6,,,,
,Engineering,,"19,856","16,887","11,705",795,13,74,6,"7,596","3,221","4,306",425,9,59,1,"2,869",943,876,64,8,39,-,590,175,-,-,-,-,-,-,-,651,487,487,142,142,22,22,-,-,"2,318","1,872","1,872",396,396,50,50,-,-,,,,
,Non-S&E degrees,,"92,909","76,820","42,959","1,846",202,64,101,"1,414","39,332","22,339",828,176,84,408,973,"19,870","2,173",74,13,13,109,35,"1,929","9,349",23,206,5,32,33,"9,050","2,364","1,596","1,596",592,592,42,42,134,134,"13,725","8,696","8,696","3,722","3,722",336,336,971,971,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Labor force status,Total,Employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unemployed,,,,,,,,,Not In Labor Force,,,,,,,,
,,Highest degree type,,Total,Bachelor's,,,,,,,,Master's,,,,,,,,Doctorate,,,,,,,,Professional,,,,,,,,Total,Bachelor's,,Master's,,Doctorate,,Professional,,Total,Bachelor's,,Master's,,Doctorate,,Professional,
Year,Field of study for highest degree - major group (2003-2023),Occupation: Major Group (2003),,,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip
2003,,,"100,402","83,024","43,722","5,973",663,673,291,"5,869","6,542","23,711","25,499","3,318",548,509,959,"3,003","3,574","13,588","7,663",757,"1,197",739,"1,057",861,612,"2,440","6,140",44,101,9,118,12,"3,486","2,370","3,151","1,875","1,875",960,960,211,211,105,105,"14,227","8,199","8,199","4,380","4,380",986,986,662,662
,Computer and mathematical sciences,,"6,945","5,987","3,471","2,208",3,9,13,122,499,617,"2,030","1,373",4,3,10,108,251,281,486,385,8,1,9,15,16,52,-,-,-,-,-,-,-,-,338,190,190,137,137,11,11,-,-,620,386,386,193,193,41,41,-,-
,"Biological, agricultural and environmental life sciences",,"5,638","4,770","2,434",153,458,130,15,100,621,957,928,49,364,66,4,23,214,208,"1,408",39,949,52,14,11,190,153,-,-,-,-,-,-,-,-,151,80,80,26,26,45,45,-,-,717,423,423,148,148,146,146,-,-
,Physical and related sciences,,"3,866","3,186","1,415",158,46,425,3,184,200,399,703,76,29,339,3,77,85,94,"1,068",91,80,621,5,97,61,113,-,-,-,-,-,-,-,-,150,69,69,35,35,46,46,-,-,530,273,273,108,108,149,149,-,-
,Social and related sciences,,"9,697","7,894","4,277",417,18,12,124,49,410,"3,247","2,098",132,15,8,592,24,154,"1,173","1,406",35,28,4,913,2,60,364,113,1,-,-,94,-,3,15,308,225,225,59,59,23,23,1,1,"1,495",935,935,402,402,151,151,7,7
,Engineering,,"14,360","12,276","7,901","1,022",8,35,9,"4,773",609,"1,445","3,328",631,7,37,10,"2,053",202,388,"1,047",126,12,46,4,720,54,85,-,-,-,-,-,-,-,-,579,373,373,161,161,45,45,-,-,"1,505","1,055","1,055",358,358,92,92,-,-
,S&E-Related Fields,,"13,088","11,244","4,694",353,44,19,18,313,"2,863","1,084","2,451",179,52,22,52,102,"1,373",671,423,29,98,10,16,9,161,100,"3,676",12,99,4,6,2,"3,438",115,249,135,135,65,65,5,5,44,44,"1,595",765,765,389,389,55,55,386,386
,Non-S&E Fields,,"46,808","37,667","19,530","1,662",86,43,109,328,"1,340","15,962","13,961",878,77,34,288,616,"1,295","10,773","1,825",52,22,5,96,7,70,"1,573","2,351",31,2,5,18,10,45,"2,240","1,376",803,803,477,477,36,36,60,60,"7,765","4,362","4,362","2,782","2,782",352,352,269,269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Labor force status,Total,Employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unemployed,,,,,,,,,Not In Labor Force,,,,,,,,
,,Highest degree type,,Total,Bachelor's,,,,,,,,Master's,,,,,,,,Doctorate,,,,,,,,Professional,,,,,,,,Total,Bachelor's,,Master's,,Doctorate,,Professional,,Total,Bachelor's,,Master's,,Doctorate,,Professional,
Year,Field of study for highest degree - major group (2003-2023),Occupation: Major Group (2010-2023),,,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,Total,Computer and mathematical scientists,"Biological, agricultural and other life scientists",Physical and related scientists,Social and related scientists,Engineers,S&E related occupations,Non-S&E Occupations,,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip,Total,Logical Skip
2023,,,"94,606","79,800","36,731","5,063",967,958,366,"5,058","7,965","16,354","30,383","4,221","1,148",740,"1,123","3,821","7,115","12,215","9,067","1,117","1,533",734,781,"1,023","1,744","2,135","3,619",25,59,6,63,3,"1,990","1,473","1,885","1,108","1,108",590,590,134,134,53,53,"12,921","7,019","7,019","4,405","4,405","1,016","1,016",481,481
,Computer and mathematical sciences,,"9,385","8,193","4,329","2,296",4,8,12,125,702,"1,182","3,079","1,985",21,11,25,114,484,439,785,580,9,6,9,28,60,93,-,-,-,-,-,-,-,-,251,156,156,85,85,10,10,-,-,941,552,552,330,330,59,59,-,-
,"Biological, agricultural and environmental life sciences",,"8,997","7,615","3,869",149,673,217,26,70,"1,086","1,648","1,734",111,643,103,24,50,397,406,"2,012",91,"1,177",42,17,20,378,287,-,-,-,-,-,-,-,-,160,101,101,30,30,29,29,-,-,"1,222",749,749,268,268,205,205,-,-
,Physical and related sciences,,"4,496","3,866","1,734",135,107,610,5,118,306,453,888,61,65,427,2,72,139,122,"1,244",96,105,598,4,97,177,167,-,-,-,-,-,-,-,-,84,40,40,21,21,23,23,-,-,546,305,305,119,119,122,122,-,-
,Social and related sciences,,"12,572","10,375","5,914",481,28,25,218,48,644,"4,470","3,102",196,22,24,657,29,462,"1,712","1,196",61,15,9,579,3,215,314,163,2,1,-,44,-,83,33,335,248,248,70,70,15,15,2,2,"1,862","1,203","1,203",461,461,174,174,24,24
,Engineering,,"17,383","15,430","8,531",912,46,53,4,"4,368","1,513","1,635","5,201",677,61,52,4,"2,870",895,642,"1,697",218,59,62,7,851,303,197,1,1,-,-,-,-,-,-,231,142,142,58,58,31,31,-,-,"1,722","1,129","1,129",464,464,129,129,-,-
,S&E-Related Fields,,"15,233","12,811","4,660",229,45,13,27,203,"2,853","1,290","5,178",296,192,38,163,149,"3,109","1,231",925,33,148,14,38,16,518,158,"2,048",4,55,1,-,-,"1,876",112,262,144,144,87,87,6,6,25,25,"2,160","1,118","1,118",712,712,99,99,231,231
,Non-S&E Fields,,"26,540","21,510","7,694",861,64,32,74,126,861,"5,676","11,201",895,144,85,248,537,"1,629","7,663","1,208",38,20,3,127,8,93,919,"1,407",18,3,5,19,3,31,"1,328",562,277,277,239,239,20,20,26,26,"4,468","1,963","1,963","2,051","2,051",228,228,226,226
2021,,,"106,279","88,995","42,535","5,354","1,354","1,215",493,"6,685","7,909","19,525","33,389","4,698","1,253",722,"1,502","4,378","6,960","13,876","9,960","1,233","1,959",804,"1,036","1,048","1,428","2,452","3,111",35,105,7,140,9,"1,121","1,694","3,620","2,190","2,190","1,095","1,095",265,265,70,70,"13,664","7,658","7,658","4,599","4,599",938,938,469,469
,Computer and mathematical sciences,,"9,786","8,530","4,326","2,307",2,9,16,81,669,"1,242","3,361","2,227",22,5,27,89,450,541,843,626,17,8,9,14,56,113,-,-,-,-,-,-,-,-,309,193,193,98,98,18,18,-,-,947,560,560,344,344,43,43,-,-
,"Biological, agricultural and environmental life sciences",,"10,192","8,566","4,316",160,934,289,35,94,"1,056","1,748","1,886",116,740,100,22,40,390,478,"2,364",104,"1,471",42,19,11,372,345,-,-,-,-,-,-,-,-,315,202,202,55,55,58,58,-,-,"1,311",833,833,278,278,200,200,-,-
,Physical and related sciences,,"5,030","4,247","1,904",104,133,758,12,130,307,460,931,64,83,423,6,73,147,135,"1,412",110,156,647,4,109,186,200,-,-,-,-,-,-,-,-,160,86,86,38,38,36,36,-,-,623,346,346,163,163,114,114,-,-
,Social and related sciences,,"15,219","12,344","7,377",480,52,22,303,61,627,"5,832","3,407",178,21,18,937,25,255,"1,973","1,387",60,29,9,816,4,61,408,173,1,2,-,118,1,11,40,736,559,559,135,135,40,40,2,2,"2,139","1,449","1,449",493,493,178,178,19,19
,Engineering,,"21,641","19,164","10,972","1,169",65,66,6,"5,848","1,767","2,051","6,361",957,71,56,9,"3,405",987,876,"1,830",252,81,76,6,876,271,268,1,-,-,-,-,-,-,1,593,377,377,162,162,54,54,-,-,"1,884","1,220","1,220",544,544,120,120,-,-
,S&E-Related Fields,,"14,973","12,457","4,866",220,93,27,34,286,"2,722","1,484","5,394",290,178,45,171,152,"3,124","1,434",874,44,188,17,46,23,397,159,"1,323",14,102,1,2,2,"1,079",123,429,220,220,155,155,21,21,33,33,"2,087","1,072","1,072",736,736,77,77,202,202
,Non-S&E Fields,,"29,438","23,687","8,774",914,75,44,87,185,761,"6,708","12,049",866,138,75,330,594,"1,607","8,439","1,250",37,17,5,136,11,85,959,"1,614",20,1,6,20,6,31,"1,530","1,078",553,553,452,452,38,38,35,35,"4,673","2,178","2,178","2,041","2,041",206,206,248,248
2019,,,"92,537","78,117","38,385","4,541","1,183","1,211",409,"6,064","7,140","17,837","28,809","3,700",968,664,"1,189","4,074","6,096","12,118","7,927",929,"1,384",680,987,837,"1,132","1,978","2,996",30,84,8,131,9,"1,174","1,560","1,909","1,110","1,110",597,597,154,154,48,48,"12,511","7,179","7,179","4,071","4,071",814,814,447,447
,Computer and mathematical sciences,,"7,860","6,810","3,602","1,907",6,16,18,77,563,"1,015","2,633","1,745",14,10,17,102,313,432,575,454,5,6,4,10,25,71,-,-,-,-,-,-,-,-,191,131,131,51,51,9,9,-,-,859,527,527,287,287,45,45,-,-
,"Biological, agricultural and environmental life sciences",,"8,635","7,267","3,872",132,811,314,26,64,961,"1,564","1,602",85,585,94,16,42,377,403,"1,793",90,"1,054",38,19,14,309,269,-,-,-,-,-,-,-,-,189,119,119,34,34,36,36,-,-,"1,179",749,749,270,270,160,160,-,-
,Physical and related sciences,,"4,252","3,641","1,744",101,115,716,6,111,280,415,821,40,59,379,1,70,135,137,"1,076",90,92,539,1,91,135,128,-,-,-,-,-,-,-,-,92,43,43,18,18,31,31,-,-,519,307,307,118,118,94,94,-,-
,Social and related sciences,,"13,486","11,074","6,726",436,37,21,272,42,520,"5,398","2,874",142,12,17,788,20,218,"1,677","1,320",48,19,5,815,4,70,359,154,2,1,-,107,1,13,30,337,254,254,58,58,22,22,3,3,"2,075","1,423","1,423",469,469,169,169,14,14
,Engineering,,"18,160","16,180","9,483",969,54,81,10,"5,283","1,379","1,707","5,340",782,45,48,6,"3,092",752,615,"1,356",187,52,70,5,693,167,182,1,1,-,-,-,-,-,-,313,183,183,100,100,30,30,-,-,"1,667","1,113","1,113",457,457,97,97,-,-
,S&E-Related Fields,,"13,462","11,292","4,660",184,80,18,21,315,"2,710","1,332","4,586",208,135,38,105,127,"2,854","1,119",715,36,146,17,34,18,345,119,"1,331",8,81,1,1,2,"1,125",113,241,127,127,85,85,12,12,17,17,"1,929","1,051","1,051",613,613,56,56,209,209
,Non-S&E Fields,,"26,682","21,853","8,298",812,80,45,56,172,727,"6,406","10,953",698,118,78,256,621,"1,447","7,735","1,092",24,16,5,109,7,81,850,"1,510",19,2,7,23,6,36,"1,417",546,253,253,251,251,14,14,28,28,"4,283","2,009","2,009","1,857","1,857",193,193,224,224
2017,,,"83,672","69,631","33,674","3,858",968,"1,008",375,"5,274","6,147","16,044","26,649","3,303",897,659,"1,185","3,489","5,533","11,583","6,202",675,975,483,878,585,844,"1,762","3,106",29,84,9,121,10,"1,199","1,654","1,965","1,120","1,120",657,657,143,143,45,45,"12,076","6,708","6,708","4,175","4,175",758,758,435,435
,Computer and mathematical sciences,,"6,919","5,965","3,110","1,603",7,7,12,80,434,967,"2,402","1,509",10,8,29,95,311,440,453,336,5,2,5,8,31,66,-,-,-,-,-,-,-,-,176,101,101,66,66,9,9,-,-,778,453,453,286,286,39,39,-,-
,"Biological, agricultural and environmental life sciences",,"7,495","6,132","3,369",108,671,249,20,78,818,"1,425","1,453",71,538,101,15,33,329,366,"1,310",61,738,34,9,22,224,222,-,-,-,-,-,-,-,-,197,115,115,38,38,44,44,-,-,"1,166",746,746,272,272,148,148,-,-
,Physical and related sciences,,"3,782","3,150","1,559",86,79,617,8,109,253,407,819,57,59,390,2,61,130,120,772,51,70,381,6,68,85,111,-,-,-,-,-,-,-,-,86,46,46,24,24,16,16,-,-,546,311,311,138,138,97,97,-,-
,Social and related sciences,,"12,531","10,174","6,106",375,33,22,242,53,474,"4,907","2,761",133,22,10,762,23,197,"1,614","1,175",44,15,7,723,3,60,323,132,2,1,-,92,-,7,30,333,240,240,71,71,20,20,2,2,"2,024","1,392","1,392",468,468,150,150,14,14
,Engineering,,"15,715","13,786","8,219",784,39,55,7,"4,527","1,176","1,631","4,647",687,35,56,11,"2,617",581,660,919,131,34,39,4,462,116,133,1,-,-,-,-,-,-,1,373,248,248,105,105,20,20,-,-,"1,556","1,051","1,051",438,438,67,67,-,-
,S&E-Related Fields,,"12,163","10,108","3,985",172,62,22,15,277,"2,297","1,140","4,200",176,119,29,96,116,"2,626","1,038",533,28,101,14,22,12,253,103,"1,390",12,82,1,6,2,"1,166",121,236,124,124,76,76,20,20,16,16,"1,819",950,950,622,622,54,54,193,193
,Non-S&E Fields,,"25,067","20,316","7,326",730,77,36,71,150,695,"5,567","10,367",670,114,65,270,544,"1,359","7,345","1,040",24,12,6,109,10,75,804,"1,583",15,1,8,23,8,26,"1,502",564,246,246,277,277,14,14,27,27,"4,187","1,805","1,805","1,951","1,951",203,203,228,228
