Company,Country,2005 Patents,2015 Patents,2025 Patents
Apple,United States,85,1937,2854
Dell Technologies,United States,131,356,2445
Qualcomm,United States,200,3209,3925
Toyota,Japan,271,1636,2908
Taiwan Semiconductor (TSMC),Taiwan,441,1758,4233
Microsoft,United States,750,2471,1816
General Electric,United States,1206,2629,956
Sony,Japan,1234,2448,2062
Toshiba,Japan,1338,2793,890
Siemens,Germany,1345,1488,1064
Intel,United States,1549,2625,2137
Samsung Electronics,South Korea,1641,5059,7526
Hewlett-Packard,United States,1808,1452,322
Canon,Japan,1875,4239,2988
Hitachi,Japan,1918,1704,1476
IBM,United States,2941,7440,2467
Huawei,China,34,799,3482
BOE Technology Group,China,21,276,2374
Samsung Display,South Korea,2,1825,2925
Google / Alphabet,United States,13,3195,2249
