Year,STEM Fields,Business & Management,Social Sciences,Fine and Applied Arts,Humanities,Other
2001,16.6,18.1,20.3,8.5,14.5,22.0
2002,16.8,17.6,21.9,8.5,13.8,21.39999999999999
2003,17.0,17.7,21.3,9.0,13.3,21.700000000000003
2004,16.2,17.5,22.6,7.6,13.3,22.799999999999997
2005,16.3,17.5,22.6,7.6,13.3,22.700000000000003
2006,16.4,17.7,21.7,7.5,14.2,22.5
2007,17.5,19.1,21.4,7.7,13.2,21.099999999999994
2008,17.6,20.2,21.5,8.4,13.3,19.0
2009,17.7,19.5,20.7,7.3,12.3,22.5
2010,18.9,20.8,22.3,8.3,12.1,17.60000000000001
2011,19.8,20.5,22.9,8.2,11.3,17.30000000000001
2012,21.1,20.5,22.4,7.8,10.8,17.400000000000006
2013,22.5,20.4,22.1,7.8,10.4,16.799999999999997
2014,22.6,19.6,18.7,7.0,4.1,28.0
2015,23.9,20.1,17.3,6.9,3.8,28.0
2016,25.2,20.9,17.1,6.9,3.7,26.200000000000003
2017,25.8,20.7,17.2,6.3,3.6,26.400000000000006
2018,25.6,20.8,17.1,6.8,3.6,26.099999999999994
2019,26.8,20.7,17.0,6.9,3.3,25.299999999999997
2020,24.5,20.8,19.2,6.9,3.7,24.89999999999999
2021,29.2,17.3,17.2,6.4,3.1,26.799999999999997
2022,25.6,20.8,17.6,7.1,3.4,25.5
2023,27.0,21.0,17.7,7.4,3.1,23.799999999999997
2024,27.2,21.7,17.8,7.3,3.0,23.0
