Year,EB1,EB2,EB3,EB1.1,EB2.1,EB3.1
2005,16.0,15.75,45.11111111111112,1 year 4 months,1 year 4 months,3 years 9 months
2006,14.75,28.58333333333333,56.41666666666666,1 year 3 months,2 years 5 months,4 years 8 months
2007,0.7272727272727273,23.09090909090909,54.4,0 years 1 month,1 year 11 months,4 years 6 months
2008,0.0,49.083333333333336,71.77777777777777,0 years 0 months,4 years 1 month,6 years 0 months
2009,0.0,59.25,82.28571428571429,0 years 0 months,4 years 11 months,6 years 10 months
2010,0.0,54.75,85.0,0 years 0 months,4 years 7 months,7 years 1 month
2011,0.0,53.083333333333336,85.5,0 years 0 months,4 years 5 months,7 years 2 months
2012,0.0,43.75,82.58333333333333,0 years 0 months,3 years 8 months,6 years 11 months
2013,0.0,60.41666666666666,55.66666666666666,0 years 0 months,5 years 0 months,4 years 8 months
2014,0.0,60.0,49.833333333333336,0 years 0 months,5 years 0 months,4 years 2 months
2015,0.0,47.66666666666666,59.91666666666666,0 years 0 months,4 years 0 months,5 years 0 months
2016,13.25,58.083333333333336,51.91666666666666,1 year 1 month,4 years 10 months,4 years 4 months
2017,22.166666666666668,51.75,45.583333333333336,1 year 10 months,4 years 4 months,3 years 10 months
2018,45.75,47.083333333333336,42.91666666666666,3 years 10 months,3 years 11 months,3 years 7 months
2019,32.083333333333336,40.583333333333336,46.25,2 years 8 months,3 years 5 months,3 years 10 months
2020,30.5,55.083333333333336,44.75,2 years 6 months,4 years 7 months,3 years 9 months
2021,3.0,46.25,36.0,0 years 3 months,3 years 10 months,3 years 0 months
2022,0.0,38.66666666666666,50.41666666666666,0 years 0 months,3 years 3 months,4 years 2 months
2023,16.5,47.333333333333336,50.083333333333336,1 year 4 months,3 years 11 months,4 years 2 months
2024,21.0,52.25,46.75,1 year 9 months,4 years 4 months,3 years 11 months
2025,31.166666666666668,55.583333333333336,55.16666666666666,2 years 7 months,4 years 8 months,4 years 7 months
2026,36.42857142857143,55.0,57.285714285714285,3 years 0 months,4 years 7 months,4 years 9 months
