Year,Certified (Current + Expired),Certified-expired,Certified,Denied,Withdrawn,Unnamed: 6,Unnamed: 7
2008,49205,28113,21092,10729,2063,0.5713443755715882,61997
2009,29502,13461,16041,5356,3389,0.4562741509050234,38247
2010,70237,37580,32657,8439,2736,0.5350456312200123,81412
2011,59863,41149,18714,10384,2960,0.6873861984865443,73207
2012,54581,54579,2,8642,3265,0.9999633572122167,66488
2013,35203,21461,13742,5874,3075,0.6096355424253614,44152
2014,62633,27018,35615,4349,4016,0.4313700445452078,70998
2015,78938,37715,41223,5999,4362,0.4777800298968811,89299
2016,115933,57183,58750,5560,4650,0.49324178620410064,126143
2017,87609,45529,42080,6413,3581,0.519684050725382,97603
2018,109550,37363,72187,6255,3971,0.34105887722501144,119776
2019,93865,38210,55655,5535,3255,0.40707398923986576,102655
2020,86056,32342,53714,4213,3750,0.3758250441572929,94019
2021,100552,33071,67481,4141,3571,0.3288945023470443,108264
2022,94485,54023,40462,4573,5542,0.5717627136582526,104600
2023,102286,49571,52715,6364,7777,0.48463132784545293,116427
2024,86319,50814,35505,4892,1047,0.5886768845792931,92258
2025,137753,57073,80680,2615,6688,0.4143140258288386,147056
