Year,Iran,Bangladesh,Saudi Arabia,Turkey/Türkiye,India,Taiwan,Nigeria,China,South Korea,Pakistan,Spain,Mexico,Colombia,Nepal,France,Indonesia,Ghana,Italy,Brazil,Vietnam,Hong Kong,Canada,Germany,Japan,United Kingdom,Kenya,Kuwait,Malaysia,Russia,Thailand,Venezuela
2010,-,-,2,3.7,0.7,5.8,1.5,1.9,3.9,2.7,-,3.5,3.8,0.8,1.2,2.5,-,-,3,1.6,1.2,12,1.8,3.4,4.7,4.6,-,3,2.6,3.1,3
2011,-,-,2,3.7,1,4.9,1.5,2.1,3.7,2.8,-,3.7,3.5,1.1,1.1,2.8,-,-,2.9,1.7,1.4,9.1,2.1,3.4,4.3,4.5,-,2.1,3.2,2.7,2.7
2012,0.7,-,2,4.2,0.6,4.7,1.3,1.7,3.2,2.4,-,3.1,2.7,0.6,0.7,2.5,-,-,2.6,1.1,1.3,5.4,1.6,2.6,3.2,-,-,2.4,1.9,2.4,2.6
2013,1.3,-,2.8,3.7,0.5,3.8,1.7,1.7,3.1,-,2.1,3.3,2.6,1,0.9,2,-,-,1.9,1.1,1,6.9,1.6,2.4,3.2,-,-,2.2,1.9,2.2,2.2
2014,0.9,-,3.2,4.2,0.5,3.3,1.8,1.7,3.1,-,1.7,2.8,2.2,0.7,0.8,2.4,-,-,1.6,0.9,1.6,6.5,1.8,2.8,4,-,1.2,2.1,-,2.2,1.6
2015,1.1,-,3.2,4.2,0.4,3.1,1.7,1.7,3,-,1.9,2.4,2.4,0.6,0.8,2,-,-,1.2,1,1.2,4.9,2,2.4,3.6,-,0.6,1.5,-,1.7,1.6
2016,1.3,-,3.6,4.3,0.3,2.9,1.6,1.7,3.1,-,2.1,2.3,2.4,0.6,1,1.9,-,-,1.2,1.2,1.6,3.3,1.4,2.2,3.1,-,0.8,1.5,-,1.5,2.2
2017,0.9,-,3.3,3.8,0.5,2.5,1.8,1.8,2.9,-,1.5,2.6,2.8,0.7,1,2,-,-,1.7,1.2,1.6,3.3,1.5,2.2,3.2,-,0.6,1.6,-,1.5,1.4
2018,1.5,1.2,3.4,4.4,0.3,2.6,2,1.8,2.9,-,2.2,2.7,1.8,0.5,1,2,-,-,1.8,1,1.6,3.1,1.1,2.1,2.9,-,0.6,1.6,-,-,1.2
2019,1.9,0.8,3.3,3.1,0.4,2.2,1.9,1.7,2.6,1.7,1.7,2.9,2.8,0.6,0.8,2.4,-,-,1.8,1,-,2.8,1.2,2.3,2.6,-,0.6,1.4,-,-,1.2
2020,1.7,0.6,3.8,2.9,0.7,1.9,1.9,1.7,2.3,1.3,1.5,2.4,1.8,0.6,0.8,1.6,-,-,1.6,1.1,-,2.3,1.2,1.8,2.3,-,2.7,1.4,-,-,1.6
2021,1.3,0.7,4.4,3.1,0.6,2,2.3,1.9,2.7,2.8,1.5,2.8,4.5,0.7,1,1.9,-,-,1.9,1,-,5.1,1.4,2.2,2.7,-,0.8,1.7,-,-,1.2
2022,1,0.8,4,2.8,0.4,1.6,2.3,1.9,2.5,2,1.7,2.7,2.3,0.8,0.8,2.2,-,-,1.9,1.1,2.5,4.8,1.3,1.9,2.2,-,0.9,-,-,-,1.3
2023,1.6,1,3.5,2.7,0.3,1.5,2,2,2.2,2,1.3,2.5,2.3,0.7,1,2.1,-,0.9,1.7,1.1,2.1,4.6,1.3,1.9,1.8,-,1,-,-,-,-
2024,1.5,0.7,3.2,2.5,0.2,1.5,2.3,2,2,1.8,0.9,2.3,2.5,0.5,0.9,2.3,4.4,0.7,1.5,1,1.5,4.1,1.4,1.7,1.4,-,-,-,-,-,-
2025,1.6,1.2,2.8,2.8,0.3,1.4,2.4,2,2.1,2,1.3,2.3,2.3,0.6,0.8,2.9,4.8,1.4,1.6,1,1.8,2.3,1.8,1.6,1.6,-,-,-,-,-,-
