Year,U.S. citizens and permanent residents,Temporary visa holders
1980,220903,30362
1981,219762,32642
1982,215397,39749
1983,213114,42706
1984,212717,44186
1985,214014,47959
1986,214097,51980
1987,213882,55374
1988,213945,58364
1989,217211,61366
1990,224792,64591
1991,231803,67254
1992,244514,67964
1993,252480,66371
1994,253008,65110
1995,252245,63020
1996,248907,63050
1997,244026,62456
1998,240630,64188
1999,241066,68425
2000,234000,75424
2001,237718,82018
2002,247842,87324
2003,259871,87397
2004,265643,86664
2005,271962,85748
2006,275905,87341
2007,293792,90731
2008,295530,95889
2009,303700,97308
2010,308108,99183
2011,312846,101594
2012,308042,104991
2013,305563,111688
2014,308499,128896
2015,309182,139472
2016,306710,145336
2017,281057,134511
2018,297277,134978
2019,312368,141323
2020,334959,129687
2021,353449,156335
2022,340964,197202
2023,342026,219463
2024,350225,214142
