Year,Australia,China,Germany,Japan,Republic of Korea,United Kingdom,United States of America
1990,32,1,384,896,78,182,1559
1991,56,2,583,1289,73,191,1693
1992,49,1,455,1386,100,224,2173
1993,62,11,496,1624,79,249,2409
1994,58,14,432,1631,42,235,2247
1995,84,16,534,1558,90,272,2546
1996,72,17,437,1222,118,249,2845
1997,75,26,507,1329,172,308,3570
1998,111,37,553,1582,303,366,4689
1999,113,32,579,1498,477,394,4711
2000,79,122,510,1534,306,339,4152
2001,100,154,579,1238,279,359,4366
2002,103,87,597,1035,415,348,4315
2003,86,294,680,1213,440,359,4196
2004,109,578,758,1401,761,339,3984
2005,100,662,711,1413,832,335,3600
2006,115,929,840,1682,960,339,3957
2007,128,1013,777,1779,1107,342,3956
2008,159,1057,827,1915,1009,375,4094
2009,164,1198,872,2038,605,357,4271
2010,175,1886,902,2255,851,425,4822
2011,191,2851,966,2546,1101,427,5149
2012,188,4553,974,2472,1435,492,5693
2013,198,5757,1044,2616,1710,485,6141
2014,206,5389,1044,2564,1979,436,6801
2015,201,5101,1160,2603,1784,478,6954
2016,193,5163,1174,2706,1823,534,7622
2017,198,4452,1115,2266,2290,571,7866
2018,205,5818,1170,2267,2220,558,8012
2019,184,8640,1136,2279,2267,630,8099
2020,162,10649,1166,2175,2501,683,8080
2021,188,14185,1202,2379,2478,650,8533
2022,161,17024,1067,2375,1988,661,7963
2023,144,18739,1044,2338,2273,675,7797
2024,154,15993,889,2269,2199,703,7956
