Year,Country,Research Type,"USD, PPP conv, BN"
2001,China,Applied research,8.722813732
2002,China,Applied research,11.55546644
2003,China,Applied research,14.20242428
2004,China,Applied research,17.06636267
2005,China,Applied research,17.7971096
2006,China,Applied research,19.91936118
2007,China,Applied research,18.04770148
2008,China,Applied research,19.52040842
2010,China,Applied research,28.40125808
2011,China,Applied research,30.27798304
2012,China,Applied research,33.40975401
2013,China,Applied research,35.66652525
2014,China,Applied research,38.86620304
2015,China,Applied research,42.44840734
2016,China,Applied research,44.10080364
2017,China,Applied research,48.64718776
2018,China,Applied research,55.69996391
2019,China,Applied research,62.71980837
2020,China,Applied research,68.67931913
2021,China,Applied research,74.90817803
2022,China,Applied research,81.36338867
2023,China,Applied research,85.98051322
1991,United States,Applied research,66.39749404
1992,United States,Applied research,63.7501807
1993,United States,Applied research,61.20214634
1994,United States,Applied research,58.85386456
1995,United States,Applied research,64.44275714
1996,United States,Applied research,66.7377796
1997,United States,Applied research,70.69142314
1999,United States,Applied research,76.83904754
2000,United States,Applied research,81.8750806
2001,United States,Applied research,90.981173
2002,United States,Applied research,70.52579095
2004,United States,Applied research,92.37803528
2005,United States,Applied research,90.14588854
2006,United States,Applied research,95.88591876
2007,United States,Applied research,102.0981151
2008,United States,Applied research,89.47272156
2009,United States,Applied research,86.37893711
2010,United States,Applied research,92.76966445
2011,United States,Applied research,94.14162959
2012,United States,Applied research,97.97079491
2013,United States,Applied research,97.85023584
2014,United States,Applied research,100.1467854
2015,United States,Applied research,106.9444008
2016,United States,Applied research,119.1440583
2017,United States,Applied research,120.9595691
2018,United States,Applied research,123.573487
2019,United States,Applied research,133.1821845
2020,United States,Applied research,133.652
2022,United States,Applied research,145.765156
2024,China,Applied research,101.8472617
2000,China,Applied research,7.3252329
2009,China,Applied research,24.82184343
1998,United States,Applied research,69.5015141
2003,United States,Applied research,83.450841
2021,United States,Applied research,141.0719263
2024,United States,Applied research,152.8673396
2023,United States,Applied research,151.074193
1991,China,Applied research,3.484730939
1992,China,Applied research,4.16047242
1993,China,Applied research,4.594806287
1994,China,Applied research,4.980496251
1995,China,Applied research,4.821012381
1996,China,Applied research,4.873376444
1997,China,Applied research,6.403429918
1998,China,Applied research,6.070915367
1999,China,Applied research,7.468152964
2020,United States,Basic research,112.177
2001,China,Basic research,2.623686467
2002,China,Basic research,3.4568035
2003,China,Basic research,3.997381643
2004,China,Basic research,4.993598626
2005,China,Basic research,5.386370873
2006,China,Basic research,6.149466777
2007,China,Basic research,6.389465672
2008,China,Basic research,7.494431184
2010,China,Basic research,10.31113724
2011,China,Basic research,12.12468772
2012,China,Basic research,14.34200167
2013,China,Basic research,15.5960494
2014,China,Basic research,17.05083956
2015,China,Basic research,19.88596032
2016,China,Basic research,22.53356701
2017,China,Basic research,25.6622164
2018,China,Basic research,27.72119939
2019,China,Basic research,33.52734971
2020,China,Basic research,36.54101849
2021,China,Basic research,43.27318232
2022,China,Basic research,47.27487073
2023,China,Basic research,53.04948457
1991,United States,Basic research,46.64720013
1992,United States,Basic research,46.38759985
1993,United States,Basic research,47.18325489
1994,United States,Basic research,47.65623295
1995,United States,Basic research,46.61300662
1996,United States,Basic research,50.70494401
1997,United States,Basic research,55.79965998
1999,United States,Basic research,56.72868335
2000,United States,Basic research,60.90747859
2001,United States,Basic research,65.70240532
2002,United States,Basic research,70.33042865
2004,United States,Basic research,75.13027973
2005,United States,Basic research,77.39434379
2006,United States,Basic research,77.15094409
2007,United States,Basic research,81.13957926
2008,United States,Basic research,84.37104394
2009,United States,Basic research,88.51252899
2010,United States,Basic research,89.86223579
2011,United States,Basic research,84.85958998
2012,United States,Basic research,83.64976823
2013,United States,Basic research,88.07977843
2014,United States,Basic research,90.53592895
2015,United States,Basic research,91.99256367
2016,United States,Basic research,94.44425882
2017,United States,Basic research,95.4213535
2018,United States,Basic research,101.3340916
2019,United States,Basic research,106.7666791
2022,United States,Basic research,116.8874819
2024,China,Basic research,59.15915376
2000,China,Basic research,2.253517201
2009,China,Basic research,9.180444614
1998,United States,Basic research,52.36170464
2003,United States,Basic research,75.02132489
2021,United States,Basic research,115.162181
2024,United States,Basic research,122.2264923
2023,United States,Basic research,119.472114
1991,China,Basic research,0.6664491859
1992,China,Basic research,0.7389767818
1993,China,Basic research,0.854112012
1994,China,Basic research,1.006822807
1995,China,Basic research,0.9461800001
1996,China,Basic research,0.9951285233
1997,China,Basic research,1.326514548
1998,China,Basic research,1.410198186
1999,China,Basic research,1.67054032
1991,United States,Capital expenditure not elsewhere recorded,0.8868811816
1992,United States,Capital expenditure not elsewhere recorded,0.8200676977
1993,United States,Capital expenditure not elsewhere recorded,0.6927367904
1994,United States,Capital expenditure not elsewhere recorded,0.6653967974
1995,United States,Capital expenditure not elsewhere recorded,0.7257209069
1996,United States,Capital expenditure not elsewhere recorded,0.7049438846
1997,United States,Capital expenditure not elsewhere recorded,0.8875180823
1998,United States,Capital expenditure not elsewhere recorded,0.7033258071
1999,United States,Capital expenditure not elsewhere recorded,0.7839055821
2000,United States,Capital expenditure not elsewhere recorded,0.8824650742
2001,United States,Capital expenditure not elsewhere recorded,0.7397419403
2002,United States,Capital expenditure not elsewhere recorded,0.7019088415
2003,United States,Capital expenditure not elsewhere recorded,1.083794928
2004,United States,Capital expenditure not elsewhere recorded,1.456524517
2005,United States,Capital expenditure not elsewhere recorded,1.218432131
2006,United States,Capital expenditure not elsewhere recorded,0.9538580136
2007,United States,Capital expenditure not elsewhere recorded,0.7737109441
2008,United States,Capital expenditure not elsewhere recorded,0.7519017937
2009,United States,Capital expenditure not elsewhere recorded,1.510054707
2010,United States,Capital expenditure not elsewhere recorded,2.229067823
2011,United States,Capital expenditure not elsewhere recorded,1.049384225
2012,United States,Capital expenditure not elsewhere recorded,0.8209937913
2013,United States,Capital expenditure not elsewhere recorded,0.9529170363
2014,United States,Capital expenditure not elsewhere recorded,1.130046119
2016,United States,Capital expenditure not elsewhere recorded,1.027594039
2017,United States,Capital expenditure not elsewhere recorded,1.167581717
2018,United States,Capital expenditure not elsewhere recorded,1.438122846
2019,United States,Capital expenditure not elsewhere recorded,1.502942431
2020,United States,Capital expenditure not elsewhere recorded,1.856
2022,United States,Capital expenditure not elsewhere recorded,1.931249701
2015,United States,Capital expenditure not elsewhere recorded,1.526802599
2021,United States,Capital expenditure not elsewhere recorded,1.048172188
2024,United States,Capital expenditure not elsewhere recorded,2.722062611
2023,United States,Capital expenditure not elsewhere recorded,2.753472331
2001,China,Experimental development,37.84667729
2002,China,Experimental development,45.29911469
2003,China,Experimental development,52.00882627
2004,China,Experimental development,61.73473734
2005,China,Experimental development,77.39165257
2006,China,Experimental development,92.4978139
2007,China,Experimental development,111.402482
2008,China,Experimental development,129.6486966
2010,China,Experimental development,185.7097805
2011,China,Experimental development,213.3613349
2012,China,Experimental development,248.3545892
2013,China,Experimental development,281.6678047
2014,China,Experimental development,305.7975686
2015,China,Experimental development,331.1480063
2016,China,Experimental development,362.6480757
2017,China,Experimental development,388.8553753
2018,China,Experimental development,416.8634496
2019,China,Experimental development,459.6314773
2020,China,Experimental development,502.3811367
2021,China,Experimental development,547.6085306
2022,China,Experimental development,590.5540288
2023,China,Experimental development,644.2737471
1991,United States,Experimental development,163.4628581
1992,United States,Experimental development,167.7290512
1993,United States,Experimental development,163.6713784
1994,United States,Experimental development,165.4459312
1995,United States,Experimental development,178.0125693
1996,United States,Experimental development,187.6402936
1997,United States,Experimental development,195.5290479
1999,United States,Experimental development,228.6737049
2000,United States,Experimental development,245.487583
2001,United States,Experimental development,238.0424376
2002,United States,Experimental development,246.9532994
2004,United States,Experimental development,235.9089984
2005,United States,Experimental development,252.758125
2006,United States,Experimental development,266.8007296
2007,United States,Experimental development,277.9257577
2008,United States,Experimental development,310.7928594
2009,United States,Experimental development,304.5800574
2010,United States,Experimental development,295.3973376
2011,United States,Experimental development,311.9539388
2012,United States,Experimental development,308.8282361
2013,United States,Experimental development,319.143813
2014,United States,Experimental development,329.4619951
2015,United States,Experimental development,348.9371985
2016,United States,Experimental development,357.5898538
2017,United States,Experimental development,378.3059604
2018,United States,Experimental development,409.8268946
2019,United States,Experimental development,444.6500281
2020,United States,Experimental development,482.177
2022,United States,Experimental development,545.9802726
2024,China,Experimental development,698.2936761
2000,China,Experimental development,33.61213588
2009,China,Experimental development,163.0702926
1998,United States,Experimental development,217.4133359
2003,United States,Experimental development,240.2398405
2021,United States,Experimental development,528.3543353
2024,United States,Experimental development,570.1175308
2023,United States,Experimental development,546.466965
1991,China,Experimental development,10.15101674
1992,China,Experimental development,11.50550398
1993,China,Experimental development,12.38174838
1994,China,Experimental development,12.25762086
1995,China,Experimental development,12.50047331
1996,China,Experimental development,14.01833224
1997,China,Experimental development,16.88405506
1998,China,Experimental development,19.36477329
1999,China,Experimental development,24.31695653
