Year,U.S. citizens and permanent residents,Temporary visa holders
1980,39435,2043
1981,40995,2146
1982,40405,3020
1983,40422,3044
1984,42099,2929
1985,42880,3150
1986,44188,3350
1987,44874,3384
1988,45717,3643
1989,47927,3909
1990,50801,4271
1991,54041,4579
1992,58522,4483
1993,63928,4653
1994,68826,4431
1995,72793,4381
1996,74020,4878
1997,74659,4919
1998,75681,5090
1999,76548,5526
2000,74243,5532
2001,74129,6249
2002,78297,7273
2003,84924,7552
2004,91196,7394
2005,96217,7734
2006,103022,8334
2007,95203,8097
2008,93669,8545
2009,77306,8654
2010,68089,8031
2011,58363,7516
2012,58354,7471
2013,55071,7639
2014,56797,7906
2015,59322,8067
2016,56390,7946
2017,60264,7699
2018,64534,8217
2019,64154,8268
2020,67689,7749
2021,73483,8839
2022,74061,10307
2023,70313,10734
2024,66553,11146
