Year,Academe,Government,Industry or business,Nonprofit organization,Other or unknown
1990,0.54,0.025,0.381,0.021,0.033
1991,0.546,0.019,0.38,0.029,0.025
1992,0.534,0.021,0.39,0.025,0.03
1993,0.523,0.023,0.388,0.021,0.044
1994,0.48,0.02,0.418,0.033,0.049
1995,0.458,0.018,0.456,0.026,0.042
1996,0.341,0.016,0.595,0.022,0.026
1997,0.291,0.017,0.619,0.023,0.051
1998,0.289,0.016,0.638,0.021,0.036
1999,0.343,0.015,0.597,0.023,0.022
1999,0.343,0.015,0.597,0.023,0.022
2000,0.336,0.018,0.584,0.025,0.036
2001,0.303,0.017,0.638,0.023,0.019
2002,0.407,0.02,0.527,0.026,0.02
2003,0.511,0.016,0.424,0.027,0.022
2004,0.518,0.02,0.399,0.035,0.028
2004,0.518,0.02,0.399,0.035,0.028
2005,0.457,0.015,0.485,0.022,0.021
2006,0.383,0.012,0.529,0.021,0.055
2007,0.371,0.016,0.558,0.024,0.031
2008,0.378,0.015,0.558,0.024,0.025
2009,0.409,0.015,0.529,0.023,0.025
2009,0.409,0.015,0.529,0.023,0.025
2010,0.438,0.024,0.474,0.03,0.033
2011,0.368,0.02,0.567,0.027,0.019
2012,0.351,0.017,0.582,0.025,0.025
2013,0.348,0.014,0.601,0.025,0.013
2014,0.334,0.018,0.619,0.02,0.009
2014,0.334,0.018,0.619,0.02,0.009
2015,0.325,0.017,0.624,0.025,0.01
2016,0.315,0.016,0.621,0.025,0.023
2017,0.322,0.009,0.622,0.034,0.013
2018,0.302,0.012,0.638,0.03,0.016
2019,0.303,0.012,0.638,0.028,0.019
2019,0.304,0.012,0.638,0.028,0.019
2020,0.282,0.015,0.669,0.025,0.01
2021,0.248,0.016,0.694,0.027,0.016
2022,0.216,0.011,0.723,0.03,0.019
2023,0.244,0.013,0.696,0.032,0.014
2024,0.322,0.02,0.609,0.031,0.018
