Year,United States,China,Rest of the World
2013,0.6909090909090909,0.01818181818181818,0.2909090909090909
2014,0.47058823529411764,0.09803921568627451,0.43137254901960786
2015,0.7692307692307693,0.0,0.23076923076923078
2016,0.5378787878787878,0.0,0.4621212121212121
2017,0.6,0.01875,0.38125
2018,0.6262626262626263,0.010101010101010102,0.36363636363636365
2019,0.5777777777777777,0.0,0.4222222222222222
2020,0.5324384787472036,0.05145413870246085,0.4161073825503356
2021,0.5566037735849056,0.04716981132075472,0.39622641509433965
2023,0.6729411764705883,0.0611764705882353,0.26588235294117646
2024,0.43100189035916825,0.29867674858223064,0.27032136105860116
2025,0.34011090573012936,0.3364140480591497,0.3234750462107209
