Year,Percent of Science Post-docs that are international students,Percent of Engineering Post-docs that are international students,Percent of Heatlh Post-docs that are international students
1980,36.3,69.1,25.0
1981,38.1,68.1,27.9
1982,38.7,67.0,27.2
1983,37.8,62.6,26.3
1984,38.3,63.5,27.9
1985,40.3,67.3,30.6
1986,41.5,67.3,32.4
1987,43.4,65.6,37.3
1988,45.3,65.2,38.0
1989,47.2,65.9,40.5
1990,49.3,68.6,42.7
1991,50.7,71.0,46.0
1992,51.6,67.6,47.9
1993,51.4,65.5,47.3
1994,50.6,60.9,47.9
1995,49.7,62.3,45.5
1996,50.3,60.8,48.0
1997,51.6,63.3,45.8
1998,52.0,66.7,44.8
1999,54.6,68.1,47.9
2000,57.1,67.7,47.1
2001,58.9,69.4,51.9
2002,56.3,68.7,53.1
2003,58.4,70.3,53.1
2004,57.9,67.2,53.0
2005,58.2,66.1,47.3
2006,58.4,66.9,51.3
2007,56.8,67.7,52.1
2008,56.1,65.2,45.9
2009,54.1,63.0,47.5
2010,52.4,62.2,49.1
2011,52.6,61.2,49.4
2012,52.4,61.5,49.2
2013,51.6,61.9,49.9
2014,52.7,61.8,49.2
2015,54.6,67.1,50.8
2016,53.6,66.8,49.4
2017,52.9,66.2,49.2
2018,53.6,66.4,50.7
2019,55.0,67.5,51.6
2020,52.8,67.0,52.3
2021,52.0,65.1,49.5
2022,54.9,65.9,55.4
2023,56.2,67.8,56.7
2024,57.3,68.04,55.7
