Country,Gap with the native-born
Chile,14.1
Luxembourg,11.4
Costa Rica,9.6
Portugal,6.6
Poland,6.5
Ireland,5.2
Italy,5.2
Czechia,4.9
Colombia,4.0
Spain,3.8
Greece,3.3
United Kingdom,2.8
Hungary,2.6
United States,2.6
New Zealand,2.5
Estonia,2.1
Iceland,1.9
Slovenia,1.8
Canada,1.2
Denmark,0.8
OECD average,0.8
Australia,0.0
EU27,-0.3
Korea,-0.4
Sweden,-0.5
Slovak Republic,-1.1
Lithuania,-1.2
Latvia,-1.4
Austria,-1.8
Switzerland,-2.5
Finland,-2.8
Belgium,-3.2
France,-4.3
Norway,-5.0
Germany,-7.8
Mexico,-9.4
Netherlands,-11.2
Türkiye,-11.2
