Year,Bachelors,Masters,All Doctorates (IPEDS),Doctorates
1995,0.0494,0.3001,0.3819,0.2611068937
1996,0.0478,0.2876,0.3951,0.2867804964
1997,0.0472,0.291,0.3931,0.2724496244
1998,0.0465,0.304,0.3925,0.2797876798
1999,0.0458,0.3122,0.3817,0.2760864769
2000,0.0466,0.3334,0.3951,0.2903791365
2001,0.0488,0.3582,0.4092,0.3065139798
2002,0.0484,0.354,0.419,0.3066544005
2003,0.0501,0.3772,0.4192,0.3249000336
2004,0.0519,0.3776,0.439,0.3411752029
2005,0.0505,0.3524,0.4627,0.3638177023
2006,0.0468,0.3285,0.4819,0.3780711753
2007,0.0431,0.311,0.4896,0.378043723
2008,0.0395,0.3334,0.4712,0.3754638286
2009,0.0396,0.3578,0.4439,0.355706975
2010,0.0408,0.3487,0.4228,0.3336000229
2011,0.0439,0.3471,0.4247,0.3353885112
2012,0.0477,0.3403,0.425,0.3363367331
2013,0.0497,0.3466,0.4313,0.343977075
2014,0.0519,0.3672,0.4363,0.337599489
2015,0.056,0.4247,0.4327,0.3402550091
2016,0.0622,0.4819,0.4309,0.3470659554
2017,0.0692,0.5003,0.4328,0.342036427
2018,0.0757,0.4855,0.4375,0.3607630979
2019,0.0785,0.4495,0.443,0.3677879572
2020,0.0813,0.4427,0.4154,0.3754633757
2021,0.0782,0.4225,0.4141,0.372402653
2022,0.0738,0.345,0.4136,0.3757998197
2023,0.0686,0.4591,0.4008,0.3682603826
2024,0.0617,0.5095,0.3923,0.3644320582
2025,0.0634,0.5133,0.3866,0.3866
