Year,"Africa, Sub-Saharan",Asia,Europe,Latin America & Caribbean,Middle East & North Africa,North America,Oceania,Antarctica,Multiple Destinations
2005,3.5,8.0,60.3,14.4,1.0,0.5,6.7,0,5.6
2006,3.8,9.3,58.3,15.2,1.2,0.5,6.3,0,5.5
2007,4.2,10.3,57.4,15.0,1.1,0.6,5.7,0,5.6
2008,4.5,11.1,56.3,15.3,1.3,0.4,5.3,0,5.7
2009,5.3,11.4,54.5,15.4,1.4,0.5,5.5,0,6.0
2010,5.5,12.0,53.5,15.0,1.8,0.7,5.0,0,6.5
2011,4.3,11.7,54.6,14.6,2.6,0.5,4.8,0,6.8
2012,4.5,12.4,53.3,15.8,2.5,0.6,4.5,0,6.4
2013,4.6,12.4,53.3,15.7,2.2,0.5,4.0,0,7.3
2014,4.4,11.9,53.3,16.2,2.1,0.5,3.9,0,7.7
2015,3.4,11.4,54.5,16.0,2.2,0.5,4.0,0,7.9
2016,3.9,11.1,54.4,16.3,1.9,0.5,4.2,0,7.6
2017,4.0,11.6,54.4,15.5,2.1,0.5,4.4,0,7.5
2018,4.2,11.2,54.9,14.9,2.1,0.5,4.3,0,7.9
2019,3.9,11.7,55.7,13.8,2.3,0.6,4.4,0,7.5
2020,3.3,9.1,57.9,13.4,3.2,0.5,7.1,0,5.4
2021,2.4,12.3,66.3,11.0,4.9,0.2,0.5,0,2.3
2022,2.4,4.7,73.1,10.3,2.9,0.4,0.7,0,5.5
2023,3.3,9.4,64.4,10.7,2.5,0.5,3.2,0,6.0
2024,3.0,10.2,64.1,10.6,1.6,0.6,3.3,0,6.5
