Year,China,United States,EU27,Japan,Germany,Korea,France,Türkiye,Italy,Canada
1991,14303.09383,277392.7147,234247.3303,117014.8857,81866.27529,11025.41097,52532.37942,2647.392978,27335.6014,14757.58144
1992,16405.78163,278685.219,232728.1776,115772.2348,79464.84887,12276.47678,53476.25703,2601.182799,26637.54578,15255.38782
1993,17830.66667,272749.5164,228211.445,112822.7031,76439.41172,14249.09139,54006.51638,2540.108962,25148.93872,16113.86299
1994,18245.53567,272621.4256,227526.4357,111640.3287,75520.97707,16913.61244,54064.00824,1961.468722,23979.10446,17365.43078
1995,18268.1896,289794.0539,231486.2097,118824.1054,77118.18793,18896.68034,54523.50561,2209.933775,23477.84397,17676.20759
1996,19886.83721,305787.9611,237466.9784,126373.4499,78189.6658,20939.89322,54864.9469,2826.206072,24120.49091,17550.51563
1997,24613.99953,322907.6491,246434.2791,131415.1228,81316.35099,22585.34435,54233.67811,3280.496729,25652.80536,18315.13054
1998,26845.88684,339981.3832,255295.3853,134783.739,84004.88752,20106.97569,54835.8823,3418.406989,26580.3687,19859.85717
1999,33455.15703,363026.8233,270591.4081,135249.0158,90466.80492,21434.54012,57052.21963,4167.827169,26376.74866,21482.57144
2000,43190.88598,389151.1583,286035.235,139558.9411,95420.98867,24668.43398,58969.92788,4554.333439,28027.38582,24430.53399
2001,49193.17749,395465.7579,296215.8525,143287.3648,96683.69979,27716.45204,61484.29123,4829.256953,29620.84446,26930.95459
2002,60311.38463,388511.4278,301583.0654,145389.8274,97653.76033,28935.12503,63244.57888,5007.880383,30843.50987,26776.92666
2003,70208.6322,399795.8013,303907.7958,149018.6344,98497.85291,30750.96935,62200.74836,4841.572123,30243.70453,27689.05322
2004,83794.69864,404873.8379,307945.7897,151668.4468,98029.05008,34647.2435,63189.99403,5682.42149,30434.47757,29392.48798
2005,100575.1372,421516.7894,314287.1967,162156.2449,98892.26732,37299.49344,62903.00942,7026.278441,30489.00291,30290.10258
2006,118566.6458,440791.4504,330924.0576,169460.5275,103903.5083,42294.79385,64525.63701,7372.407625,32184.83391,30728.86205
2007,135839.6492,461937.1631,342287.7632,175434.1287,106410.4967,47227.03179,65348.0304,9606.075756,34022.85004,31006.1657
2008,156663.5362,485389.724,360824.7158,173268.7749,114133.1147,50564.07438,66744.06391,9705.196135,34611.48413,30969.68331
2009,197072.5807,480981.5782,360265.4451,158622.4921,112738.3281,53711.30061,69544.82486,10785.05649,34395.79801,30108.622
2010,224422.1758,480259.4814,368798.72,160423.746,116855.3078,60459.84715,69813.44043,11560.56835,34931.67664,30009.83914
2011,255764.0057,492004.5426,381742.788,165651.3114,124594.3246,67914.63369,71839.98049,12843.21718,34662.96878,30608.37841
2012,296106.3449,491269.7931,390171.7104,166269.9037,128586.1145,74520.0549,73288.44699,14017.89188,35273.11643,30761.35258
2013,332930.3793,506026.7443,390339.6448,175228.414,127056.7782,78846.03305,74062.67076,14964.74608,35698.0719,30353.59656
2014,361714.6112,521274.7556,400989.3462,180513.3931,131759.0277,83858.75235,76075.41644,16523.22029,36724.5314,31232.63369
2015,393482.3751,549402.0483,411123.0228,176408.1391,136471.0385,84072.39236,75272.17383,19792.25375,37067.86766,30329.45308
2016,429282.4463,572206.8377,415315.7917,170385.8764,139929.5898,86677.21596,75942.45133,23673.89804,38287.38485,31165.77797
2017,463164.7794,595853.411,435461.7693,176569.5149,148934.1493,96448.88328,76811.55714,26698.42479,39038.10228,31704.07253
2018,500284.6129,636171.5658,453401.8143,180671.0809,153711.2099,104352.5834,78070.55124,29658.68667,40959.88445,33610.48513
2019,555878.6356,686100.8207,471079.2373,179890.8932,158394.6632,109072.6765,79386.40394,30966.84363,42186.01722,34509.17135
2020,607601.4738,729862,459513.8046,174926.4424,150788.8204,112221.208,76072.64334,32703.11816,39583.38332,35739.7047
2021,665789.891,785639.4839,480307.0412,180098.4031,155922.1886,119353.5336,79112.35661,37270.44251,40585.68116,38031.29294
2022,719192.2878,810560.5888,494278.1316,188830.8444,157189.6306,129298.7099,81547.80337,37222.89025,41184.58453,39767.51141
2023,783303.7447,819769.3273,506419.5042,193910.5303,160177.4067,133946.4988,81029.86243,42035.09981,41759.95712,41686.51405
2024,859300.0916,847935.1056,508419.5224,204375.9002,159537.4022,141653.8098,82107.63709,45563.16035,42368.51146,39256.39057
