Year,Field,Degree,NonresidentShare
1995,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.539
1996,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.542
1997,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.766
1998,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.499
1999,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.458
2000,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.034
2001,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.513
2002,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.418
2003,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.475
2004,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.324
2005,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.471
2006,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.347
2007,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.474
2008,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.342
2009,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.258
2010,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.611
2011,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.52
2012,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.515
2013,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.022
2014,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.119
2015,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.223
2016,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.272
2017,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.556
2018,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.732
2019,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.847
2020,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,3.18
2021,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,3.01
2022,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.638
2023,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,2.283
2024,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Bachelors,1.987
1995,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,53.211
1996,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,55.085
1997,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,49.171
1998,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,52.679
1999,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,58.049
