Year,Bachelors,Masters,All Doctorates (IPEDS),Doctorates
1995,0.1885,0.1586,0.1524,0.6626
1996,0.193,0.1564,0.1569,0.6693
1997,0.1934,0.1462,0.1505,0.6696
1998,0.1931,0.1451,0.1511,0.6716
1999,0.1908,0.141,0.1419,0.6617
2000,0.1898,0.1395,0.1383,0.6618
2001,0.1897,0.1421,0.1364,0.6601
2002,0.1884,0.1384,0.1306,0.6517
2003,0.1908,0.1471,0.1348,0.6565
2004,0.1871,0.1489,0.1371,0.661
2005,0.1831,0.1439,0.1407,0.6818
2006,0.179,0.1363,0.15,0.6923
2007,0.1756,0.1299,0.1555,0.7014
2008,0.1734,0.1332,0.1575,0.7127
2009,0.1727,0.1351,0.1552,0.7138
2010,0.176,0.1336,0.1572,0.7287
2011,0.1784,0.1372,0.1583,0.7428
2012,0.1829,0.1418,0.1586,0.7429
2013,0.1878,0.1468,0.1605,0.7416
2014,0.1942,0.1524,0.1667,0.754
2015,0.2013,0.1675,0.1666,0.7502
2016,0.2087,0.1835,0.1674,0.7524
2017,0.2164,0.1917,0.1668,0.7569
2018,0.2235,0.1882,0.1681,0.7652
2019,0.2298,0.1834,0.1682,0.7716
2020,0.2361,0.1867,0.1817,0.771
2021,0.2372,0.185,0.1737,0.782
2022,0.2421,0.1759,0.1827,0.7896
2023,0.2475,0.2125,0.1826,0.7869
2024,0.249,0.2274,0.1777,0.7901
