Year,Agricultural Sciences,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Architecture and Related Services,"Area, Ethnic, Cultural, Gender, and Group Studies",Biological and Biomedical Sciences,"Business, Management, Marketing, and Related Support Services","Communication, Journalism, and Related Programs",Communications Technologies/Technicians and Support Services,Computer and Information Sciences and Support Services,Construction Trades,"Culinary, Entertainment, and Personal Services",Education,Engineering,Engineering/Engineering-Related Technologies/Technicians,English Language and Literature/Letters,Family and Consumer Sciences/Human Sciences,"Foreign Languages, Literatures, and Linguistics",Health Professions and Related Programs,History,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services","Job-Seeking/Changing Skills Programs, Other",Legal Professions and Studies,"Liberal Arts and Sciences, General Studies and Humanities",Library Science,Mathematics and Statistics,Mechanic and Repair Technologies/Technicians,Military Technologies and Applied Sciences,Multi/Interdisciplinary Studies,Natural Resources and Conservation,Other,"Parks, Recreation, Leisure, Fitness, and Kinesiology",Philosophy and Religious Studies,Physical Sciences,Precision Production,Psychology,Public Administration and Social Service Professions,Sales and Marketing Operations/Marketing and Distribution,Science Technologies/Technicians,Social Sciences,Theology and Religious Vocations,Transportation and Materials Moving,Visual and Performing Arts,Vocational Home Economics
1995,27.29,33.69,18.08,11.48,16.23,15.07,16.5,31.69,37.5,42.86,,3.11,33.9,14.45,4.57,9.5,18.58,5.62,,2.43,5.32,40.67,6.62,3.42,27.58,,0.0,6.94,11.6,12.2,6.38,8.75,30.6,0.0,3.44,3.74,27.24,22.86,17.6,12.75,1.09,14.95,4.55
1996,25.42,34.15,18.48,10.35,15.74,14.9,17.13,30.92,37.87,,,3.12,32.4,12.07,4.63,8.22,17.89,4.55,,1.89,12.47,43.55,5.8,3.9,26.78,,2.21,8.26,10.38,11.81,4.74,9.38,29.64,12.5,3.16,4.57,22.48,8.33,17.57,12.07,1.41,14.73,3.12
1997,26.25,36.61,19.38,12.06,13.98,14.76,18.72,33.42,38.93,,0.0,2.86,33.37,13.08,4.88,8.44,19.14,4.65,,3.41,22.69,44.66,5.35,3.15,26.41,,2.21,7.06,10.21,11.77,5.75,8.2,29.5,0.0,2.89,4.77,26.15,11.76,18.11,11.41,1.41,16.4,9.09
1998,24.8,31.27,20.15,13.54,14.17,15.94,17.82,24.82,42.05,31.25,,2.87,34.88,11.26,5.09,8.0,19.27,4.01,,1.92,13.71,46.96,6.78,3.36,27.81,,,8.0,9.87,12.11,5.68,9.35,27.79,26.67,3.31,4.64,13.35,13.79,18.56,11.45,1.49,18.05,11.54
1999,20.71,33.85,20.93,14.04,12.97,14.8,18.15,13.85,43.41,28.57,,2.44,35.9,16.35,5.45,7.19,21.79,4.02,,2.02,5.27,45.27,6.14,2.8,29.46,,,8.79,8.27,11.77,5.91,9.19,26.64,0.0,3.24,4.86,23.98,8.7,20.11,13.18,2.38,17.55,9.09
2000,19.87,30.76,22.86,15.04,11.84,15.08,19.9,16.28,45.8,50.0,0.0,2.45,38.32,14.54,5.6,7.85,22.32,4.37,,2.39,7.94,47.93,4.98,3.14,33.52,,0.0,8.29,8.89,12.17,4.74,9.42,27.47,20.0,3.42,4.46,29.56,5.56,20.14,11.6,3.01,17.87,1.92
2001,16.16,30.32,24.1,15.19,13.5,16.3,18.68,21.76,47.4,42.86,50.0,2.57,41.47,15.98,6.26,8.06,25.1,4.7,,2.24,9.09,48.25,5.79,2.92,37.19,,,10.17,9.99,13.03,5.74,8.54,27.68,0.0,3.1,4.72,23.16,0.0,20.84,11.56,3.31,18.88,0.0
2002,15.51,31.72,24.06,14.9,12.71,16.4,18.24,30.24,47.07,44.44,0.0,2.85,41.08,19.75,6.68,6.85,25.4,4.8,,3.04,41.67,53.83,6.28,3.48,37.24,,,12.3,9.41,13.1,6.4,7.79,27.57,0.0,3.29,5.15,28.01,12.0,22.01,11.03,3.95,18.19,0.0
2003,,20.8,22.89,16.42,14.27,17.38,18.91,29.64,46.69,,11.11,2.64,46.28,22.72,5.83,9.2,24.97,4.51,5.19,3.61,,53.98,4.91,3.35,39.82,,34.15,13.55,10.88,13.87,6.64,8.11,26.86,0.0,4.4,5.15,,22.22,25.93,11.76,2.35,18.97,
2004,,25.17,22.82,15.62,14.61,15.69,15.89,22.47,43.69,,33.33,2.4,47.14,24.44,5.55,9.17,24.23,5.39,4.08,2.74,,51.15,4.58,3.32,40.87,,25.77,13.35,10.71,13.3,6.25,8.51,29.01,15.38,3.81,5.44,,9.68,24.11,10.67,5.08,17.42,
2005,,24.18,18.96,13.86,14.88,15.32,15.36,26.1,40.68,,,2.94,44.56,23.88,4.77,9.59,23.47,5.31,4.43,2.09,,51.68,3.36,2.74,38.16,,26.09,13.34,9.86,12.72,5.74,8.8,28.13,16.67,3.83,5.3,,25.0,23.59,10.64,2.99,15.97,
2006,,22.0,17.17,13.17,14.85,14.97,13.68,28.6,38.6,,0.0,3.03,41.65,21.82,4.54,8.31,20.37,5.84,4.47,2.75,,50.17,3.94,2.3,36.29,,14.02,11.29,9.99,11.96,5.27,8.52,27.8,22.22,3.61,5.14,,13.64,21.0,9.31,3.7,15.05,
2007,,21.58,15.76,12.3,15.03,14.2,13.57,34.27,38.54,,14.29,2.77,38.49,23.05,4.74,7.87,20.93,5.12,3.46,2.17,,53.33,3.96,1.95,35.26,,0.0,10.73,8.76,11.19,5.55,7.41,27.52,20.0,3.5,4.73,,17.86,21.24,8.43,4.47,14.8,
2008,,22.45,15.59,14.36,15.6,13.83,13.93,33.44,42.94,,16.67,2.95,40.81,28.05,4.29,8.58,19.25,4.78,3.63,1.86,1.19,53.07,5.74,1.51,35.99,,14.81,10.68,10.46,11.54,6.41,8.12,27.37,33.33,3.27,4.87,,23.08,20.61,8.48,2.02,14.41,
2009,,21.11,15.23,14.21,17.61,14.08,15.33,30.11,46.31,,12.5,2.8,43.36,35.26,3.78,7.29,20.18,4.52,3.1,2.0,,53.36,5.98,1.6,39.79,,11.87,11.17,9.12,12.03,6.28,7.6,27.47,10.0,3.0,5.18,,16.67,21.12,7.82,2.39,15.32,
2010,,21.36,15.41,14.99,17.24,13.57,14.78,34.56,44.03,,22.22,2.61,43.37,30.73,4.01,7.29,19.97,4.68,3.36,1.84,,52.24,6.67,1.27,40.58,,16.95,10.35,9.22,11.71,6.6,8.34,27.66,10.0,3.49,4.95,,20.59,19.43,7.11,2.14,15.78,
2011,,22.48,15.82,13.23,17.59,13.46,14.45,37.85,44.52,,0.0,2.54,43.23,27.58,3.74,6.24,19.3,4.7,2.82,1.62,,49.03,6.53,1.58,38.55,,9.11,9.22,8.44,11.73,6.51,7.58,27.64,20.0,3.48,5.34,,15.62,19.36,7.37,2.95,15.17,
2012,,21.57,15.89,12.97,17.22,13.56,14.85,36.82,44.33,80.0,7.5,2.45,41.43,28.53,3.4,5.83,19.17,4.18,3.47,1.95,,52.24,5.67,1.59,39.9,,24.66,8.84,7.93,11.71,6.06,6.44,28.61,0.0,3.19,4.72,,26.83,19.11,6.69,2.41,15.9,
2013,,22.34,18.02,15.31,15.9,14.84,16.16,37.09,43.93,50.0,7.5,2.43,42.6,29.23,4.07,6.48,21.17,4.04,3.56,1.9,,54.91,3.83,1.34,42.63,,24.14,11.33,9.34,12.49,5.7,5.87,27.7,11.11,3.69,5.38,,20.0,20.92,6.55,5.33,16.45,
2014,,22.1,22.89,16.79,16.23,16.31,17.95,38.65,45.45,,4.55,2.97,44.61,31.42,3.64,7.46,20.84,3.84,3.45,2.17,,55.33,5.86,1.62,46.14,,17.02,12.98,11.05,13.66,5.45,7.33,28.33,40.0,3.32,5.67,,11.76,22.77,6.45,5.23,18.77,
2015,,22.69,25.5,15.54,16.58,16.97,20.35,42.42,54.69,,8.82,2.98,50.96,36.28,4.12,6.64,24.76,3.66,3.5,1.76,,57.23,6.84,1.59,48.28,,10.6,14.1,10.35,15.33,5.08,8.79,29.0,50.0,3.65,5.44,,16.0,23.45,6.74,7.42,20.67,
2016,,22.34,29.41,17.36,15.82,17.77,20.01,46.63,62.68,,11.11,3.06,56.29,44.84,4.36,6.97,26.04,3.78,3.43,2.04,,57.65,7.08,1.66,52.72,,8.33,13.99,11.75,17.2,5.7,9.33,29.17,30.0,3.86,5.46,,4.82,24.64,6.91,9.77,22.82,
