,Below Level 1b,Level 1b,Level 1a,Level 2,Level 3,Level 4,Level 5,Level 6,"Sum Level 2, 3, 4, 5, 6"
Singapore,-0.2,-1.5,-6.2,13.9,24.2,29.7,18.9,5.6,92.2
Japan,-0.1,-1.4,-6.5,17,27.7,29.3,15,3,92
Estonia,-0.1,-1.5,-8.5,21.9,31.7,24.7,9.8,1.8,89.9
Korea,-1,-3.2,-9.5,18.4,27,25.2,12.7,3,86.3
Canada*,-0.5,-3.3,-11.5,22.3,28.5,22,9.4,2.5,84.7
Ireland*,-0.4,-3.1,-12.1,25.4,30.4,21,6.8,0.8,84.4
Latvia*,-0.2,-2.5,-13.8,29.8,30.9,17.7,4.6,0.6,83.5
Slovenia,-0.3,-3.5,-13.9,25.7,29,19.5,6.9,1.1,82.2
Finland,-0.8,-4.4,-12.8,21.6,26.6,21.2,9.9,2.8,82
Poland,-0.4,-4.4,-13.8,24.3,28.9,20.1,7,1,81.4
Switzerland,-0.4,-4.1,-14.8,23.7,26.6,21,8.1,1.5,80.8
Denmark*,-0.5,-4.1,-14.9,26.4,28.7,18.5,6,1,80.5
Australia*,-1,-4.8,-13.7,22.2,25.3,20.3,9.6,3,80.5
Czech Republic,-0.6,-4.2,-15.1,24.9,27.4,18.9,7.5,1.5,80.1
United Kingdom*,-0.7,-5,-14.4,24.3,26.4,19.2,8.1,2,79.9
New Zealand*,-0.9,-5.1,-14.3,21.8,25.9,20,9.8,2.2,79.6
Viet Nam,-0.5,-3.6,-16.9,34.4,31.2,11.5,1.7,0.1,78.9
Spain,-0.7,-4.7,-15.9,27.8,29.5,16.5,4.4,0.5,78.7
Lithuania,-0.5,-4.6,-16.7,28.4,28.1,16.3,4.8,0.7,78.2
Portugal,-0.6,-4.7,-16.5,27.8,28.2,17.3,4.4,0.5,78.2
United States*,-1.1,-5.6,-15.3,22.4,24.8,19.9,8.8,2.2,78.1
Belgium,-1,-6.3,-15.2,23.3,27.4,19.8,6.4,0.7,77.6
Croatia,-0.6,-5,-16.9,28.5,27.4,16.2,4.9,0.5,77.6
Austria,-0.8,-5.8,-16,23.6,26.7,19.2,6.9,1,77.3
Germany,-1,-6.4,-15.5,24,25.4,18,7.8,1.9,77.1
Hungary,-0.6,-5.5,-16.8,25.9,27.3,17.7,5.5,0.6,77.1
Sweden,-1.2,-6.3,-16.2,22.1,25,19.2,8.2,1.8,76.3
France,-1.2,-6.5,-16.2,23.8,26.8,17.9,6.7,1.1,76.2
Italy,-0.9,-5.6,-17.4,27.9,28.3,15.6,3.9,0.4,76.1
OECD average,-1.1,-6.3,-17.1,25.2,25.7,17.2,6.3,1.2,75.5
Türkiye,-0.4,-4.8,-19.5,29.4,26.7,15.2,3.7,0.2,75.3
Netherlands*,-1.2,-7.8,-18.3,21.3,22,18.8,8.9,1.6,72.7
Norway,-1.5,-8,-18.2,23.8,24.5,17,5.8,1.2,72.4
Malta,-1.8,-9.5,-19,25.3,25.1,14.8,4.1,0.5,69.7
Slovak Republic,-2.6,-9.3,-18.7,26.3,24.7,14,3.8,0.5,69.4
Israel,-2.6,-10.2,-19.3,24,23.2,15,4.9,0.9,67.9
Serbia,-1.6,-9.1,-24.5,30.7,22.5,9.5,2,0.2,64.9
Iceland,-1.9,-10.5,-23.4,28.6,22.9,10.4,2.1,0.1,64.1
Chile,-2.1,-9.9,-24.4,30.3,22.3,9.2,1.7,0.1,63.6
Brunei Darussalam,-1.5,-10.5,-25.1,28.6,21.7,10.2,2.2,0.2,62.9
Greece,-2,-10.8,-24.6,30.1,22.4,8.7,1.4,0.1,62.7
Uruguay,-2.2,-11.9,-26.4,29.3,20.6,8.1,1.5,0.1,59.5
Qatar,-2.2,-13.9,-27.6,27.7,17.8,8,2.4,0.4,56.3
Romania,-3.2,-14.9,-25.9,27,19.6,8,1.3,0.1,56
United Arab Emirates,-4.4,-15.8,-24.8,23.2,17.7,10.2,3.3,0.6,54.9
Kazakhstan,-1.3,-10.3,-33.6,34.6,15.2,4.2,0.8,0.1,54.9
Malaysia,-1.5,-14,-32.4,32.6,15.7,3.3,0.4,0.1,52.1
Bulgaria,-3.1,-16.3,-28.6,26.2,17.4,6.9,1.4,0.1,52
Moldova,-2.1,-14.2,-32.3,30.1,16,4.8,0.5,0,51.3
Mongolia,-1.8,-13.6,-34.3,32.5,14.7,2.9,0.2,0,50.3
Costa Rica,-2.4,-15,-33.4,31.2,14.2,3.4,0.4,0,49.3
Mexico,-2,-13.9,-35,32.7,13.9,2.5,0.1,0,49.2
Colombia,-3.1,-16.5,-31.9,28.3,15,4.6,0.7,0,48.6
Peru,-3.4,-17,-32.2,28.2,14.8,4,0.5,0,47.4
Thailand,-2.3,-15.6,-35.2,28.8,13.8,3.8,0.6,0,47
Argentina,-3.4,-17.5,-33,27.5,13.8,4.1,0.5,0,46.1
Jamaica*,-5.2,-20.1,-29.4,25.5,13.8,5.2,0.9,0,45.4
Montenegro,-3.4,-18.5,-33,27.4,14.1,3.3,0.3,0,45.1
Brazil,-5.1,-19.1,-31.2,25.4,13.2,4.8,1,0.2,44.6
Panama*,-6.1,-22.5,-33.6,23.7,10.8,2.8,0.5,0,37.9
Saudi Arabia,-2.3,-19.3,-40.6,28.2,8.4,1.1,0,0,37.8
Georgia,-5.1,-23.2,-36.3,24,9,2.2,0.2,0,35.4
North Macedonia,-5.9,-25.7,-33.8,23.3,9.4,1.8,0.1,0,34.7
Indonesia,-3.6,-21.2,-41.1,26.3,7,0.8,0,0,34.2
Albania,-6.9,-25.6,-34.8,22.5,8.1,1.8,0.2,0,32.6
Jordan,-5.3,-25.9,-37.7,23.3,6.8,0.9,0,0,31.1
El Salvador,-5,-26.5,-39.4,21.2,6.8,1,0.1,0,29
Paraguay,-6.9,-28.2,-36,21.5,6.3,1,0,0,28.9
Guatemala,-3.1,-25.5,-44.4,21.7,4.7,0.5,0,0,27
Morocco,-4.3,-30.6,-40.6,19.5,4.6,0.4,0,0,24.5
Dominican Republic,-6.2,-31.4,-39,18.7,4.2,0.4,0,0,23.3
Philippines,-8.3,-35.8,-33.1,16,5.6,1,0.1,0,22.8
Uzbekistan,-6,-32.5,-42.6,16.5,2.2,0.1,0,0,18.9
Cambodia,-4.5,-35.6,-49.5,9.9,0.5,0,0,0,10.4
Macao (China),-0.2,-1.2,-6.1,16.6,30.5,30.7,12.7,2,92.6
Chinese Taipei,-0.4,-2.6,-9.1,17.2,26.4,26.6,14.2,3.6,87.9
Hong Kong (China)*,-0.2,-2.6,-10,20.8,30.2,25.4,9.3,1.4,87.2
Ukrainian regions (18 of 27),-1.3,-9,-23.8,30.3,23.9,9.7,2,0.1,66
Baku (Azerbaijan),-5.2,-24.5,-36.1,24.2,8.4,1.4,0.1,0,34.1
Palestinian Authority,-5.5,-27.8,-39.1,21.3,5.6,0.7,0,0,27.6
Kosovo,-5.2,-34.7,-39.3,16.7,3.7,0.3,0,0,20.7
