Year,U.S. citizens and permanent residents,Temporary visa holders
1980,303,678
1981,332,708
1982,323,657
1983,414,694
1984,439,764
1985,443,913
1986,460,945
1987,497,949
1988,588,1102
1989,657,1271
1990,613,1337
1991,655,1607
1992,767,1602
1993,843,1603
1994,1018,1588
1995,999,1649
1996,1050,1627
1997,1089,1882
1998,950,1903
1999,1018,2178
2000,1069,2244
2001,965,2187
2002,1117,2449
2003,1133,2677
2004,1297,2652
2005,1413,2753
2006,1538,3104
2007,1594,3348
2008,1899,3563
2009,2375,4041
2010,2637,4332
2011,2634,4152
2012,2738,4365
2013,2706,4400
2014,2792,4515
2015,2521,5135
2016,2590,5206
2017,2650,5189
2018,2656,5258
2019,2689,5577
2020,2793,5669
2021,2907,5433
2022,2839,5496
2023,2916,6135
